px_true,py_true,vx_true,vy_true,yaw_true,px_estimate,py_estimate,vx_estimate,vy_estimate,yaw_estimate,Sensor Type,NIS
0.6000,0.6000,5.1999,0.0000,0.0000,0.3122,0.5803,5.0000,0.0000,0.0000,L,0.0000
0.8600,0.6000,5.1997,0.0018,0.0003,0.7677,0.5888,4.9372,1.0936,0.2180,R,1.1490
1.1200,0.6002,5.1994,0.0054,0.0010,1.0948,0.5653,5.0224,0.8347,0.1647,L,1.1748
1.3800,0.6006,5.1990,0.0108,0.0021,1.3130,0.5449,4.8993,0.6033,0.1225,R,2.7588
1.6399,0.6013,5.1984,0.0180,0.0035,1.5904,0.5882,4.9222,0.5546,0.1122,L,0.3365
1.8998,0.6025,5.1977,0.0269,0.0052,1.8386,0.5813,5.0974,0.3834,0.0751,R,1.9919
2.1597,0.6041,5.1968,0.0377,0.0073,2.1173,0.6097,5.1150,0.3744,0.0731,L,0.3920
2.4195,0.6063,5.1957,0.0502,0.0097,2.3405,0.6452,5.0702,0.5269,0.1035,R,1.8960
2.6793,0.6092,5.1945,0.0646,0.0124,2.6063,0.6701,5.0857,0.5052,0.0990,L,0.1363
2.9390,0.6128,5.1931,0.0807,0.0155,2.8758,0.6684,5.1425,0.3776,0.0733,R,0.4422
3.1987,0.6173,5.1915,0.0985,0.0190,3.1100,0.6773,5.1238,0.3447,0.0672,L,0.6107
3.4583,0.6227,5.1896,0.1182,0.0228,3.3961,0.6002,5.1853,-0.1139,-0.0220,R,3.3058
3.7177,0.6291,5.1875,0.1396,0.0269,3.6971,0.5238,5.2109,-0.5156,-0.0986,L,4.7398
3.9771,0.6367,5.1852,0.1627,0.0314,3.9758,0.5685,5.2771,-0.2377,-0.0450,R,2.7278
4.2363,0.6454,5.1826,0.1876,0.0362,4.2499,0.5614,5.2873,-0.2592,-0.0490,L,0.2040
4.4954,0.6555,5.1796,0.2142,0.0413,4.5118,0.5875,5.2774,-0.1351,-0.0256,R,0.8037
4.7544,0.6669,5.1763,0.2426,0.0468,4.7088,0.6757,5.1904,0.2384,0.0459,L,9.8927
5.0132,0.6798,5.1727,0.2726,0.0527,4.9644,0.6706,5.1653,0.1689,0.0327,R,1.8390
5.2717,0.6942,5.1687,0.3044,0.0588,5.2659,0.6676,5.2145,0.1257,0.0241,L,3.3678
5.5301,0.7103,5.1642,0.3379,0.0653,5.5239,0.6755,5.2294,0.1420,0.0272,R,1.6156
5.7883,0.7281,5.1593,0.3730,0.0722,5.8186,0.6892,5.2643,0.1666,0.0316,L,2.1692
6.0462,0.7476,5.1539,0.4098,0.0793,6.0654,0.6170,5.2302,-0.1291,-0.0247,R,3.8182
6.3038,0.7691,5.1480,0.4482,0.0868,6.3260,0.7245,5.2199,0.2502,0.0479,L,3.3897
6.5611,0.7925,5.1416,0.4883,0.0947,6.5794,0.7559,5.1958,0.3212,0.0617,R,0.5979
6.8181,0.8180,5.1345,0.5300,0.1029,6.8312,0.7528,5.1916,0.2730,0.0525,L,0.2228
7.0747,0.8456,5.1268,0.5733,0.1114,7.0801,0.7344,5.1546,0.1675,0.0325,R,3.6751
7.3309,0.8754,5.1185,0.6181,0.1202,7.3073,0.8201,5.1091,0.4188,0.0818,L,2.8156
7.5867,0.9074,5.1095,0.6645,0.1293,7.5930,0.8333,5.1608,0.4158,0.0804,R,4.0372
7.8420,0.9419,5.0997,0.7125,0.1388,7.8463,0.8073,5.1645,0.2858,0.0553,L,0.6126
8.0968,0.9788,5.0891,0.7619,0.1486,8.1003,0.8246,5.1373,0.2932,0.0570,R,2.7615
8.3511,1.0181,5.0777,0.8128,0.1587,8.3419,0.8415,5.1218,0.3083,0.0601,L,0.4524
8.6047,1.0601,5.0654,0.8652,0.1692,8.6038,0.9408,5.1329,0.5871,0.1139,R,6.3598
8.8578,1.1047,5.0522,0.9190,0.1799,8.8430,1.0014,5.1015,0.7130,0.1389,L,0.6516
9.1101,1.1521,5.0380,0.9742,0.1910,9.1270,1.0430,5.1300,0.7618,0.1474,R,6.7480
9.3617,1.2022,5.0228,1.0308,0.2024,9.3666,1.0730,5.1112,0.7744,0.1504,L,0.6597
9.6125,1.2552,5.0066,1.0887,0.2141,9.6400,1.1532,5.1164,0.9318,0.1801,R,4.4020
9.8625,1.3112,4.9892,1.1479,0.2261,9.9078,1.2883,5.0742,1.2419,0.2400,L,2.6786
10.1117,1.3701,4.9707,1.2084,0.2385,10.1568,1.3972,4.9991,1.4595,0.2841,R,4.2314
10.3598,1.4321,4.9511,1.2701,0.2511,10.3849,1.4733,4.9521,1.5463,0.3027,L,0.9495
10.6069,1.4972,4.9301,1.3330,0.2641,10.6184,1.5839,4.8488,1.7507,0.3465,R,3.9069
10.8530,1.5655,4.9079,1.3970,0.2773,10.8526,1.5973,4.8652,1.6247,0.3223,L,2.1098
11.0979,1.6370,4.8844,1.4621,0.2909,11.1157,1.6495,4.8923,1.5962,0.3154,R,2.0553
11.3416,1.7118,4.8595,1.5283,0.3047,11.3970,1.6752,4.9475,1.4843,0.2915,L,2.2370
11.5840,1.7899,4.8331,1.5955,0.3189,11.6312,1.7408,4.9083,1.5240,0.3011,R,1.1529
11.8251,1.8714,4.8053,1.6637,0.3333,11.8660,1.7964,4.8931,1.5192,0.3010,L,0.5371
12.0647,1.9564,4.7760,1.7327,0.3480,12.1167,1.8883,4.8932,1.5964,0.3154,R,1.0860
12.3029,2.0448,4.7451,1.8027,0.3631,12.3659,1.9010,4.9209,1.4468,0.2859,L,1.0408
12.5394,2.1368,4.7126,1.8734,0.3784,12.6200,1.9554,4.9468,1.4120,0.2781,R,0.9370
12.7743,2.2323,4.6784,1.9448,0.3940,12.8191,2.1000,4.8438,1.6730,0.3326,L,3.2554
13.0075,2.3314,4.6426,2.0170,0.4099,13.0785,2.2018,4.8699,1.7335,0.3420,R,3.4840
13.2388,2.4341,4.6050,2.0898,0.4260,13.2804,2.3493,4.7636,1.9640,0.3911,L,2.3033
